"label","youtube_id","time_start","time_end","split","is_cc"
"playing harp","-4GpJEw9uXs",6,16,"train",0
"canoeing or kayaking","-0JU38ZQOlY",0,10,"train",0
"sign language interpreting","-f0mGPf6TrM",173,183,"train",0
"holding snake","-dWIkANNXL8",1,11,"train",0
"swing dancing","-yGqXEZRbEk",99,109,"train",0
"skiing crosscountry","-krOvK781eo",156,166,"train",0
"checking tires","-8Smxrww8a0",238,248,"train",0
"setting table","-dirnoX3noQ",2,12,"train",0
"walking the dog","-2-2p5R_ujo",162,172,"train",0
"dining","--UW3CcUqaU",20,30,"train",0
"jumpstyle dancing","-ciVOQS2RHo",233,243,"train",0
"playing accordion","-2hoixBAoJ4",346,356,"train",0
"plastering","0EdtloYYx20",29,39,"train",0
"breading or breadcrumbing","-3rIc5nLAa4",92,102,"train",0
"making a cake","-kVHRsmmbOE",56,66,"train",0
"tai chi","-57IRjVQhAE",194,204,"train",0
"making sushi","-dx9-XDIFh8",0,10,"train",0
"ice climbing","-2jPR5x7kLw",135,145,"train",0
"busking","-2p42aWACGw",162,172,"train",0
"auctioning","-2jqFdD__ag",255,265,"train",0
"motorcycling","-1rkM-owGVk",225,235,"train",0
"scuba diving","-9DSHbAQ3F4",104,114,"train",0
"crying","-Dk0FFQ7hiU",0,10,"train",0
"jumping into pool","-3pp5xan1Hw",6,16,"train",0
"bartending","-n2sDzOvLeY",46,56,"train",0
"catching or throwing baseball","-gswhyjdG-A",0,10,"train",0
"baking cookies","-1MXpPymXFU",187,197,"train",0
"playing organ","-6Uat2UGZ9c",1,11,"train",0
"playing piano","-CuDMAzj4AE",62,72,"train",0
"spray painting","-4kN8H3nd-8",113,123,"train",0
"juggling soccer ball","-OvAZRMaLPo",1,11,"train",0
"drinking shots","-DjJxquarR0",2,12,"train",0
"salsa dancing","-CHYvPQSQwQ",152,162,"train",0
"making tea","-raeZQpNbRg",6,16,"train",0
"tap dancing","--6q_33gNew",132,142,"train",0
"pushing car","-6rLmGwSr0w",10,20,"train",0
"surfing water","-aGeMK91ocM",24,34,"train",0
"stomping grapes","-av_0U1Ij7M",319,329,"train",0
"country line dancing","-4hw_9qTcSk",16,26,"train",0
"shooting basketball","-0cOo0cRVZU",8,18,"train",0
"playing kickball","-SGc-osF_VM",12,22,"train",0
"shining shoes","-7e9jqhnf98",383,393,"train",0
"riding a bike","-JS1xwedseo",0,10,"train",0
"hoverboarding","-giz9kqs6a4",1,11,"train",0
"punching bag","-2N36vLrHbU",0,10,"train",0
"brushing hair","-fTDzbATdVQ",0,10,"train",0
"throwing ball","-NjZexbjl88",4,14,"train",0
"playing paintball","-0MsYnGUrfE",22,32,"train",0
"weaving basket","-34DlWSfs2g",125,135,"train",0
"playing trumpet","-3Nz5NOgpXM",57,67,"train",0
"blowing nose","-AENAqVfyDo",12,22,"train",0
"drinking beer","-QK_K56zj3s",14,24,"train",0
"riding unicycle","-EkAGBzhWe4",10,20,"train",0
"playing guitar","-3EZyImLCXk",3,13,"train",0
"roller skating","-4pz4u3SAME",99,109,"train",0
"blowing glass","-4J9Cg84umY",4,14,"train",0
"bandaging","-3L-WLPIOuo",92,102,"train",0
"side kick","-emea7tDK0U",20,30,"train",0
"marching","-0kVxoFuMGQ",622,632,"train",1
"cutting pineapple","-qUYrOaqWOg",1,11,"train",0
"bowling","-5ExwuF5IUI",30,40,"train",0
"bending back","-5w0UmJ3pkU",5,15,"train",0
"clean and jerk","-4Z5uS1rH2s",4,14,"train",0
"playing cricket","-qXEPVAEORw",14,24,"train",0
"wrestling","145t-jGu5LM",1026,1036,"train",0
"robot dancing","-ADLGQ4KR0U",19,29,"train",0
"extinguishing fire","-2jAG58dnmg",47,57,"train",0
"peeling potatoes","-1jQapks1hI",53,63,"train",0
"dunking basketball","-887Ct0ZIXU",4,14,"train",0
"headbutting","-327uLLh08w",4,14,"train",0
"cooking on campfire","-Fo1A96jv44",40,50,"train",0
"reading book","-DsMpC5_-c4",27,37,"train",0
"playing flute","0Iy18mslB4A",170,180,"train",0
"changing oil","-0M6S1qBn8s",243,253,"train",0
"playing squash or racquetball","-ACVixyfMwE",75,85,"train",0
"krumping","-8kap3Yv36A",31,41,"train",0
"news anchoring","-axhvgcHZ4Y",1,11,"train",0
"snowkiting","--feYHvtteA",25,35,"train",0
"eating hotdog","-RG6SvbKKk4",20,30,"train",0
"spraying","-LSeaW6ctQA",45,55,"train",0
