"label","youtube_id","time_start","time_end","split","is_cc"
"abseiling","mJtln6FZ9-g",213,223,"train",0
"abseiling","y3GTBWwEhGI",19,29,"train",0
"abseiling","SFU_UxzfgPg",12,22,"train",0
"abseiling","wU3tMhvk89k",18,28,"train",0
"abseiling","aP1tA12GEMI",11,21,"train",0
"abseiling","jt6F7JFCd1s",0,10,"train",0
"abseiling","8NaoKo4TyHk",41,51,"train",0
"abseiling","Ojj1ZuoUW18",68,78,"train",0
"abseiling","yIcLV9OmzFM",50,60,"train",0
"abseiling","XNWAiFLzLRo",19,29,"train",0
"abseiling","oMzFvZunGQg",173,183,"train",0
"abseiling","ABVY2X5gybE",210,220,"train",0
"abseiling","K_C7ZnHCwvs",24,34,"train",0
"abseiling","UaUix_Jnbmw",186,196,"train",0
"abseiling","DiQNYLb2svU",42,52,"train",0
"abseiling","N59hvIvRJI4",34,44,"train",0
"abseiling","y-sDHIMDLOE",113,123,"train",0
"abseiling","4lTtJeXACp4",121,131,"train",0
"abseiling","DD7SHZXLtXw",17,27,"train",0
"abseiling","FF2UYFB4eDI",79,89,"train",0
"abseiling","TgvtG_duP80",340,350,"train",0
"abseiling","B0bGNYOybV0",172,182,"train",0
"abseiling","PMkT19tOvu0",216,226,"train",0
"abseiling","e2C6U9vJftk",93,103,"train",0
"abseiling","Aq7XRiPh9SU",4,14,"train",0
"abseiling","eERWadcoROk",0,10,"train",0
"abseiling","UiRKyKcRIUU",0,10,"train",0
"abseiling","tNsQISQ5s4Y",116,126,"train",0
"abseiling","yQhgB0PGMzg",58,68,"train",0
"abseiling","-JNfr9HZc5w",113,123,"train",0
"abseiling","hbU9ysARd3k",2,12,"train",0
"abseiling","AWp3-Ai1atM",59,69,"train",0
"abseiling","27Ogzc9n4GQ",116,126,"train",0
"abseiling","PKuY73aMDpY",33,43,"train",0
"abseiling","IMhQO0Lflsg",27,37,"train",0
"abseiling","a-3KRovAH-k",106,116,"train",0
"abseiling","g74TUWKs0tg",78,88,"train",0
"abseiling","CVJMv1KXKe0",0,10,"train",0
"abseiling","sN80RbKSei0",14,24,"train",0
"abseiling","Wf3x6WHtLuQ",166,176,"train",0
"abseiling","1nNROzy8zx8",83,93,"train",0
"abseiling","GPCeg27RHhQ",47,57,"train",0
"abseiling","yMetOUpHT9M",15,25,"train",0
"abseiling","Z-IFmEH6_FE",0,10,"train",0
"abseiling","HLU5bdWnsBw",119,129,"train",0
"abseiling","7Ni_HDZv5jc",27,37,"train",0
"abseiling","Y6B_e4hr9Jc",97,107,"train",0
"abseiling","cRo1G2eWOKA",0,10,"train",0
"abseiling","Nnk8AcX4WOU",32,42,"train",0
"abseiling","hJyyw6xYhPM",22,32,"train",0
"air drumming","XF_HDUg8ObA",15,25,"train",0
"air drumming","10dZYe23HQs",13,23,"train",0
"air drumming","smG7C2reUUc",0,10,"train",0
"air drumming","T-GTpW9S0QQ",1,11,"train",0
"air drumming","1fro95eDEAw",58,68,"train",0
"air drumming","iKDrjcwa6qY",25,35,"train",0
"air drumming","ezFZQRiwHhI",19,29,"train",0
"air drumming","eBdm3f2c3Rg",0,10,"train",0
"air drumming","t7N_9FJrAbE",15,25,"train",0
